Player,Team,Points,Cost,Position
Aarons,Norwich,58,4.3,DEF
Aarons,Newcastle,0,4.8,MID
Abraham,Chelsea,131,7.5,FOR
Adam Smith,Bournemouth,39,4.3,DEF
Adams,Southampton,39,5.3,FOR
Adrian,Liverpool,27,4,GK
Aguero,Man City,124,11.8,FOR
Ajeti,West Ham,8,5.6,FOR
Ake,Bournemouth,67,4.8,DEF
Albrighton,Leicester,27,5.1,MID
