,Team,Points,Cost
,Spurs,17,4.1
,Watford,36,4
,West Ham,0,4
,Brighton,0,4
,Brighton,7,4
,Liverpool,0,4
,Everton,0,4
,Crystal Palace,0,4
,Brighton,1,4
,Wolves,0,4
,West Ham,6,4
,West Ham,0,4
,Burnley,0,4
,Newcastle,0,4
,Sheffield Utd,0,4
,Liverpool,0,4
